gse,gpl,batch,n genes,n samples,title,pubmed_id,summary,web_link,overall_design,channel_count
GSE17705,GPL96,MDACC_Tissue_BC_Tamoxifen,12722,195,Endocrine Sensitivity Index Validation Dataset,20697068,Validation dataset of 298 ER-positive patients treated with tamoxifen for 5 years.;	;	All patients in this dataset have ER+ breast cancer and were uniformly treated with tamoxifen for 5 years. The objective of the study was to correlate levels of genomic markers to outcomes (relapse free survival) in this cohort of uniformly treated patients.,NA,Tissue samples were processed and profiled by two different labs (MD Anderson Cancer Center and Jules Bordet Institute).,1
GSE18728,GPL570,NA,18260,21,Expression data from human breast cancers pre and post chemothrapy,20012355,"Neoadjuvant chemotherapy has been shown to be equivalent to post-operative treatment for breast cancer, and allows for assessment of chemotherapy response.  In a pilot trial of docetaxel (T) and capecitabine (X) neoadjuvant chemotherapy for Stage II/III BC, we assessed correlation between baseline gene expression and tumor response to treatment, and examined changes in gene expression associated with treatment.  Patients received 4 cycles of TX. Tumor tissue obtained from Mammotome™ core biopsies pretreatment (BL) and post-Cycle 1 (C1) of TX was flash frozen and stored at -70C until processing. Gene expression analysis utilized Affymetrix HG-U133 Plus 2.0 GeneChip arrays. Statistical analysis was performed using BRB Array Tools after RMA normalization. Gene ontology (GO) pathway analysis used random variance t-tests with a significance level of p<0.005.  For gene categories identified by GO pathway analysis as significant, expression levels of individual genes within those pathways were compared between classes using univariate t-tests; those genes with significance level of p<0.05 were reported.",NA,The analysis of baseline gene expression included baseline specimens from twenty-eight patients:  11 responders and 17 non-responders.  Analyses of changes in gene expression included paired baseline and post-cycle 1 specimens from 14 patients; of these 6 patients were responders and 8 patients were non-responders.,1
GSE19615,GPL570,NA,18260,115,Integrated genomic and function characterization of the 8q22 gain,20098429,"Integrated DNA and expression array analysis in primary human breast tumors identified chromosome 8q22 copy number gain and a suite of over-expressed genes in this region highly relevant to subsequent recurrence.;	8q copy gain is associated with increased risk of distant metastasis despite adjuvant chemotherapy and multiple genes from 8q22 are overexpressed and have pleiotropic effects, contributing to tumor growth, survival, and reduced killing of tumor cell by chemotherapy.",NA,Affymetrix U133plus2 from 115  tumor patients,1
GSE19697,GPL570,NA,18260,24,An expression profile that predicts the therapeutic response of the basal-like breast cancer to neoadjuvant chemotherapy,19967557,"A gene expression signature characterizes expression data from breast cancer samples of patients with pathological complete response (pCR) or residual disease (RD) following the neoadjuvant trial.;	Several gene expression profiles have been reported to predict breast cancer response to neoadjuvant chemotherapy. These studies often consider breast cancer as a homogeneous entity, although higher rates of pathologic complete response (pCR) are known to occur within the basal-like subclass. We postulated that profiles with higher predictive accuracy could be derived from a subset analysis of basal-like tumors in isolation. Using a previously described ‘‘intrinsic’’ signature to differentiate breast tumor subclasses, we identified 50 basal-like tumors from two independent clinical trials associated with gene expression profile data. 24 tumor data sets (included in this GEO submission) were derived from a 119-patient neoadjuvant trial at our institution and an additional 26 tumor data sets were identified from a published data set (Hess et al. J Clin Oncol 24:4236–4244, 2006). The combined 50 basal-like tumors were partitioned to form a 37 sample training set with 13 sequestered for validation. Clinical surveillance occurred for a mean of 26 months. We identified a 23-gene profile which predicted pCR in basal-like breast cancers with 92% predictive accuracy in the sequestered validation data set. Furthermore, distinct cluster of patients with high rates of cancer recurrence was observed based on cluster analysis with the 23-gene signature. Disease-free survival analysis of these three clusters revealed significantly reduced survival in the patients of this high recurrence cluster. We identified a 23- gene signature which predicts response of basal-like breast cancer to neoadjuvant chemotherapy as well as disease-free survival. This signature is independent of tissue collection method and chemotherapeutic regimen.;	;	Keywords: Disease state analysis",NA,Core biopsies were obtained from 86 patients prior to neoadjuvant therapy out of which 70 fulfilled the requirements to undergo expression analysis (24 of these 70 were used in the published analysis). pCR was defined as no residual invasive disease in the breast or lymph nodes. Residual in situ carcinoma was also considered as pCR. RNA was extracted from snap frozen 14-gauge core samples obtained from pre-treatment tumors. Specimens containing more than 40% of tumor on histological examination were analyzed.,1
GSE20181,GPL96,NA,12722,53,Letrozole (Femara) early and late responses to treatment,20697427,"In the present investigation, we have exploited the opportunity provided by neoadjuvant treatment of a group of postmenopausal women with large operable or locally advanced breast cancer (in which therapy is given with the primary tumour remaining within the breast) to take sequential biopsies of the same cancers before and after 10-14 days or 90 days treatment with letrozole.  RNA extracted from the biopsies has been subjected to Affymetrix microarray analysis and the data from paired biopsies interrogated to discover genes whose expression is most influenced by oestrogen deprivation.;	;	Keywords: Timecourse between subjects",NA,"Biopsies were taken from the same subjects at three timepoints: pretreatment, after 10-14 days Letrozol (2.5 mg/day, oral), and after 90 days Letrozol (2.5 mg/day, oral).",1
GSE20194,GPL96,NA,12722,261,MAQC-II Project: human breast cancer (BR) data set,20064235,"The human breast cancer (BR) data set (endpoints D and E) was contributed by the University of Texas M. D. Anderson Cancer Center (MDACC, Houston, TX, USA). Gene expression data from 230 stage I-III breast cancers were generated from fine needle aspiration specimens of newly diagnosed breast cancers before any therapy. The biopsy specimens were collected sequentially during a prospective pharmacogenomic marker discovery study between 2000 and 2008. These specimens represent 70-90% pure neoplastic cells with minimal stromal contamination. Patients received 6 months of preoperative (neoadjuvant) chemotherapy including paclitaxel, 5-fluorouracil, cyclophosphamide and doxorubicin followed by surgical resection of the cancer. Response to preoperative chemotherapy was categorized as a pathological complete response (pCR = no residual invasive cancer in the breast or lymph nodes) or residual invasive cancer (RD), and used as endpoint D for prediction. Endpoint E is the clinical estrogen-receptor status as established by immunohistochemistry. RNA extraction and gene expression profiling were performed in multiple batches over time using Affymetrix U133A microarrays. Genomic analysis of a subset of this sequentially accrued patient population were reported previously. For each endpoint, the first 130 cases were used as a training set and the next 100 cases were used as an independent validation set.",http://edkb.fda.gov/MAQC/,Gene expression data from 230 stage I-III breast cancers,1
GSE21974,GPL6480,NA,17499,32,Molecular Subtype Predicts Response to Neoadjuvant Chemotherapy in Breast Cancer,21769435,"In a prospective cohort study of 32 women with primary invasive breast cancer with a measurable lesion, we obtained a tumor specimen by high speed core biopsy before and after 4 cycles of NAC with epirubicine 90mg/m2 and cyclophosphamide 600mg/m2 every 3 weeks, followed by 4 cycles of docetaxel 100mg/m2. Total RNA was extracted from tumor specimens and the whole transcriptome was quantified with Agilent’s 44K single color microarray interrogating 41000 unique human genes. Tumor lesions were ultrasonographically measured to assess response using Sinn criteria. Genes significant different and significant changing during chemotherapy accompanying and predicting response were searched.",NA,Whole genome expression of breast cancer tissues were measured before and after four cycles neoadjuvant chemotherapy,1
GSE21997,GPL1390,NA,14318,35,Genomic predictors of response to doxorubicin versus docetaxel in breast cancer,21465170,"Low topo2a expression and ER-negative status were predictors of response to doxorubicin, while small tumor size and ER-negative status predicted response to docetaxel.  Docetaxel was superior to doxorubicin in triple-negative/basal-like tumors, while no significant differences between these drugs were seen in the remaining intrinsic subtypes;	;	Keywords: reference x sample",NA,reference x sample,2
GSE21997,GPL5325,NA,17200,28,Genomic predictors of response to doxorubicin versus docetaxel in breast cancer,21465170,"Low topo2a expression and ER-negative status were predictors of response to doxorubicin, while small tumor size and ER-negative status predicted response to docetaxel.  Docetaxel was superior to doxorubicin in triple-negative/basal-like tumors, while no significant differences between these drugs were seen in the remaining intrinsic subtypes;	;	Keywords: reference x sample",NA,reference x sample,2
GSE21997,GPL7504,NA,17904,31,Genomic predictors of response to doxorubicin versus docetaxel in breast cancer,21465170,"Low topo2a expression and ER-negative status were predictors of response to doxorubicin, while small tumor size and ER-negative status predicted response to docetaxel.  Docetaxel was superior to doxorubicin in triple-negative/basal-like tumors, while no significant differences between these drugs were seen in the remaining intrinsic subtypes;	;	Keywords: reference x sample",NA,reference x sample,2
GSE22226,GPL1708,NA,18507,128,Heterogeneity of Response to Chemotherapy and Recurrence-free Survival in Neoadjuvant Breast Cancer: Results from the I-SPY 1 TRIAL,22198468,"Introduction: The I-SPY 1 TRIAL was designed to evaluate complete pathologic response and tumor volume change, measured by magnetic resonance imaging (MRI), stratified by molecular subtypes and link response to 3-year recurrence free survival (RFS).Methods: Eligible patients had T =3 cm and received neoadjuvant chemotherapy with AC plus optional taxane.  Serial MRI, biopsy, and blood draws were conducted over the course of treatment, and a database of multiple molecular profiles was assembled.Results: A total of 221 patients were eligible for analysis: median tumor size was 6.0 cm and median age was 49 years.  The I-SPY 1 TRIAL patients had tumors with aggressive biology: 45% were estrogen receptor (ER) negative, 31% Her2+; and 91% high risk by the Netherlands Cancer Institute (NKI) 70-gene profile. After a median of 3.9 years, RFS was 77%.  HR/HER2 status improved predictability of RFS with the greatest difference between HR+/HER2- and triple-negative disease (hazard ratio 0.39).  Wound healing signature activation, p53 mutation, and Risk of Relapse (ROR) score were highly correlated and also significantly improved the accuracy of RFS predictions when added to stage. The rate of pathologic complete response (pCR) varied considerably from a low of 0-2% (NKI low risk, luminal A) to a high of 43-61% (17q Amplified, HER2 enriched, HR-/HER2+).  Both pCR and the more refined residual cancer burden (RCB) were significant predictors of RFS for all patients and even more predictive when analyzed within biomarker subsets.  Good risk (NKI low, ROR-S low risk, Wound Healing quiescent, p53 wild type) signatures were associated with significantly higher 3-year RFS than poor risk expression signatures (ROR-S high risk, Wound Healing Activated, p53 mutation, NKI high risk).Conclusion: Importantly, in this set of biologically poor prognosis tumors, pCR predicts for better outcome, especially when analyzed within breast cancer subsets.;	;	Keywords: reference x sample",NA,reference x sample,2
GSE22226,GPL4133,NA,19648,20,Heterogeneity of Response to Chemotherapy and Recurrence-free Survival in Neoadjuvant Breast Cancer: Results from the I-SPY 1 TRIAL,22198468,"Introduction: The I-SPY 1 TRIAL was designed to evaluate complete pathologic response and tumor volume change, measured by magnetic resonance imaging (MRI), stratified by molecular subtypes and link response to 3-year recurrence free survival (RFS).Methods: Eligible patients had T =3 cm and received neoadjuvant chemotherapy with AC plus optional taxane.  Serial MRI, biopsy, and blood draws were conducted over the course of treatment, and a database of multiple molecular profiles was assembled.Results: A total of 221 patients were eligible for analysis: median tumor size was 6.0 cm and median age was 49 years.  The I-SPY 1 TRIAL patients had tumors with aggressive biology: 45% were estrogen receptor (ER) negative, 31% Her2+; and 91% high risk by the Netherlands Cancer Institute (NKI) 70-gene profile. After a median of 3.9 years, RFS was 77%.  HR/HER2 status improved predictability of RFS with the greatest difference between HR+/HER2- and triple-negative disease (hazard ratio 0.39).  Wound healing signature activation, p53 mutation, and Risk of Relapse (ROR) score were highly correlated and also significantly improved the accuracy of RFS predictions when added to stage. The rate of pathologic complete response (pCR) varied considerably from a low of 0-2% (NKI low risk, luminal A) to a high of 43-61% (17q Amplified, HER2 enriched, HR-/HER2+).  Both pCR and the more refined residual cancer burden (RCB) were significant predictors of RFS for all patients and even more predictive when analyzed within biomarker subsets.  Good risk (NKI low, ROR-S low risk, Wound Healing quiescent, p53 wild type) signatures were associated with significantly higher 3-year RFS than poor risk expression signatures (ROR-S high risk, Wound Healing Activated, p53 mutation, NKI high risk).Conclusion: Importantly, in this set of biologically poor prognosis tumors, pCR predicts for better outcome, especially when analyzed within breast cancer subsets.;	;	Keywords: reference x sample",NA,reference x sample,2
GSE22358,GPL5325,NA,17220,122,Clinical and Pathologic Response of the Primary Tumor in Women Receiving Neoadjuvant Docetaxel-Capecitabine (+/- Trastuzumab) Chemotherapy,21373875,"Results: In subjects who completed treatment and surgery, the pCR and near-complete response rates were 15.8% in HER2-negative and 50% in HER2-positive subjects. When stratified by genomic subtype, subjects of the HER2-enriched subtype had the best response (66.7%), the luminal A (11%) and B (4.8%) subtypes the poorest. Of 147 patients tested for p53 mutations using the AmpliChip test, 78 variants were detected; 55 were missense. The response rate among TP53 mutated patients was 30%, significantly higher than the rate in TP53 wild-type patients (10%, P = .0032). Concordance between AmpliChip mutation status versus IHC staining was 65%, with AmpliChip status being predictive of response and IHC status being not being predictive. Conclusion: Capecitabine plus docetaxel in HER2-negative subjects, and with trastuzumab in HER2-positive subjects, provided a good response rate with fewer cycles. p53 mutational analysis using the AmpliChip p53 assay, and genomic subtyping using the PAM50 assay, were promising predictive tests of response.;	",NA,reference x sample,2
GSE23428,GPL5325,NA,16823,16,TBCRC 001:  Randomized Phase II Study of Cetuximab in Combination with Carboplatin in Stage IV Triple Negative Breast Cancer,22665533,"Abstract;	Background. Epidermal growth factor receptor (EGFR) is a targetable molecule in basal-like breast cancer, which comprises most “triple negative” breast cancer (TNBC), the only breast cancer subtype without established targeted therapy.;	Methods. In this randomized phase II trial, metastatic TNBC patients received the anti-EGFR antibody cetuximab (250mg/kg/week iv) with carboplatin (AUC2/wk iv) added on progression, or concomitant cetuximab + carboplatin. Molecular subtyping was done on archival specimens and those with accessible tumors provided fresh tissue, before and after 7-14 days of therapy, for microarray analyses to explore EGFR pathway inhibition.;	Results. Of 102 TNBC patients 74% were of the basal-like molecular subtype.  Response rate to cetuximab was 6% (2/31), and was 16% (4/25) to cetuximab + carboplatin after progression. Upfront cetuximab + carboplatin produced responses in 17% (12/71); 31% responded or had prolonged disease stabilization. Time to progression was 2.1 months (95% CI 1.8-5.5) and overall survival 10.4 months (95% CI 7.7-13.1) for those treated with the combination regimen. Among 16 patients with evaluable serial biopsies, genomic patterns of the EGFR pathway showed activated status in 13 and inhibition by therapy in 5.;	Conclusions.  While most TNBC were basal-like, a significant proportion were different subtypes. The aggressive nature of metastatic TNBC leads to limited survival. Despite a promising preclinical rationale and evidence of EGFR pathway activation in most, targeted treatment with cetuximab as a single agent had marginal activity and cetuximab added to carboplatin demonstrated modest activity.  Serial biopsies as part of metastatic breast cancer studies are feasible, and this study confirmed that the EGFR pathway was inhibited by therapy in only a minority suggesting ligand-independent activation in most tumors. Tissue acquisition and drug selection based upon individualized pathway activation status should be an important part of future studies of TNBC.",NA,"This series contains 36 microarrays that are from 18 patients with fresh frozen tissue  available from the metastatic site.  Pretreatment samples (Bx0) are available for two patients.  Pretreatment and post single agent treatment (7-14 days after start of treatment with cetuximab; BxSingle) are available for three patients.  Pretreatment and post combination treatment (7-14 days after start of treatment with cetuximab plus carboplatin; BxCombo) are available for eight patients.  Two patients have a pretreatment sample, a sample after 7-14 days of treatment with single agent cetuximab, and a third sample 7-14 days on cetuximab plus carboplatin after switching to the combination arm upon progression on the single agent arm.;	Samples were hybridized with Stratagene common reference spiked with RNA from two breast cancer cell lines (ME16C and MCF-7) on Custom 1x44K Agilent microarrays.  Arrays were scanned on an Axon 4000B scanner and analyzed with GenePix Pro software.;	;	",2
