run 0
val: ['study_25065_GPL96_MDACC-bmc15', 'study_20194_GPL96_all-bmc15', 'study_22226_GPL1708_all-bmc15']
(1834, 23475) (391, 23475)
(1834, 8836) (391, 8836)
(1834, 4) (391, 4)
(1834, 4) (391, 4)
full:  0.6879795396419437 0.6533287811539774 0.6025264595425059
oleg:  0.7365728900255755 0.706657562307955 0.5868897234551042
trea:  0.7416879795396419 0.5 0.5
rand:  0.5831202046035806 0.4847729600546261 0.502799590303858
run 11
val: ['study_22358_GPL5325_all-bmc15', 'study_25065_GPL96_USO-bmc15', 'study_12093_GPL96_all-bmc15']
(1913, 23475) (312, 23475)
(1913, 8836) (312, 8836)
(1913, 4) (312, 4)
(1913, 4) (312, 4)
full:  0.7339743589743589 0.7973484848484849 0.7270202020202021
oleg:  0.5833333333333334 0.6083333333333334 0.5217171717171718
trea:  0.5769230769230769 0.6725589225589225 0.5
rand:  0.5032051282051282 0.5073653198653199 0.46035353535353535
run 12
val: ['study_17705_GPL96_MDACC_Tissue_BC_Tamoxifen-bmc15', 'study_19615_GPL570_all-bmc15', 'study_20194_GPL96_all-bmc15']
(1659, 23475) (566, 23475)
(1659, 8836) (566, 8836)
(1659, 4) (566, 4)
(1659, 4) (566, 4)
full:  0.549469964664311 0.4421357936716299 0.5340921876758055
oleg:  0.5653710247349824 0.4324469614572004 0.5508257385390491
trea:  0.5176678445229682 0.627154983810274 0.5
rand:  0.49646643109540634 0.5060445811299054 0.48714823288202125
run 13
val: ['study_25055_GPL96_MDACC_M-bmc15', 'study_20181_GPL96_all-bmc15', 'study_16391_GPL570_all-bmc15']
(1903, 23475) (322, 23475)
(1903, 8836) (322, 8836)
(1903, 4) (322, 4)
(1903, 4) (322, 4)
full:  0.4658385093167702 0.4914361001317523 0.5494071146245059
oleg:  0.5186335403726708 0.573466231311222 0.5566534914361001
trea:  0.36645962732919257 0.45451681273987515 0.45981554677206854
rand:  0.6614906832298136 0.6064043077275592 0.6054018445322793
run 14
val: ['study_25055_GPL96_MDACC_M-bmc15', 'study_16446_GPL570_all-bmc15', 'study_25065_GPL96_MDACC-bmc15']
(1819, 23475) (406, 23475)
(1819, 8836) (406, 8836)
(1819, 4) (406, 4)
(1819, 4) (406, 4)
full:  0.47044334975369456 0.5151840490797546 0.5193251533742331
oleg:  0.46551724137931033 0.5624233128834356 0.5539877300613497
trea:  0.19704433497536947 0.5 0.5
rand:  0.6108374384236454 0.5534125766871166 0.5407208588957055
run 15
val: ['study_9893_GPL5049_all-bmc15', 'study_20194_GPL96_all-bmc15', 'study_2034_GPL96_all-bmc15']
(1530, 23475) (695, 23475)
(1530, 8836) (695, 8836)
(1530, 4) (695, 4)
(1530, 4) (695, 4)
full:  0.46474820143884893 0.4443337484433375 0.48343711083437113
oleg:  0.4949640287769784 0.5023163138231631 0.5129306766293068
trea:  0.4748201438848921 0.6957617268576173 0.5
rand:  0.4762589928057554 0.4929016189290162 0.4930884184308842
run 16
val: ['study_16391_GPL570_all-bmc15', 'study_25055_GPL96_MDACC_M-bmc15', 'study_16446_GPL570_all-bmc15']
(1842, 23475) (383, 23475)
(1842, 8836) (383, 8836)
(1842, 4) (383, 4)
(1842, 4) (383, 4)
full:  0.5483028720626631 0.5775535939470365 0.5350987810004203
oleg:  0.556135770234987 0.5847835224884403 0.5447877259352669
trea:  0.27676240208877284 0.49810844892812106 0.498192517864649
rand:  0.608355091383812 0.5049180327868852 0.5107818411097099
run 17
val: ['study_20194_GPL96_all-bmc15', 'study_19615_GPL570_all-bmc15', 'study_2034_GPL96_all-bmc15']
(1568, 23475) (657, 23475)
(1568, 8836) (657, 8836)
(1568, 4) (657, 4)
(1568, 4) (657, 4)
full:  0.54337899543379 0.47368177184690946 0.5413678065054212
oleg:  0.5418569254185692 0.48770271522565095 0.5399638587711982
trea:  0.502283105022831 0.6073440830321564 0.5
rand:  0.502283105022831 0.5227411731998888 0.5009174311926605
run 18
val: ['study_12093_GPL96_all-bmc15', 'study_20194_GPL96_all-bmc15', 'study_20181_GPL96_all-bmc15']
(1775, 23475) (450, 23475)
(1775, 8836) (450, 8836)
(1775, 4) (450, 4)
(1775, 4) (450, 4)
full:  0.49333333333333335 0.39589955499046414 0.51946916719644
oleg:  0.5377777777777778 0.4476021137952956 0.5692347425301971
trea:  0.4622222222222222 0.782938652256834 0.5
rand:  0.4911111111111111 0.5357398283534647 0.513012555626192
run 19
val: ['study_19615_GPL570_all-bmc15', 'study_20181_GPL96_all-bmc15', 'study_1379_GPL1223_all-bmc15']
(2002, 23475) (223, 23475)
(2002, 8836) (223, 8836)
(2002, 4) (223, 4)
(2002, 4) (223, 4)
full:  0.5964125560538116 0.6962382445141067 0.6378265412748172
oleg:  0.6860986547085202 0.6115987460815047 0.5866248693834901
trea:  0.5695067264573991 0.35668756530825496 0.3960292580982236
rand:  0.600896860986547 0.5075235109717868 0.48432601880877746
