pathways	n_tested	terms	rawp	FDR_BY	STANDARD_NAME	SYSTEMATIC_NAME	EXTERNAL_DETAILS_URL	CHIP	CATEGORY_CODE	SUB_CATEGORY_CODE	CONTRIBUTOR	CONTRIBUTOR_ORG	DESCRIPTION_BRIEF	ID
path652	15	REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	4.1708942141866457e-07	3.62390065281164e-4	REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1121	3	REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT	4.176372060632284e-7	3.62390065281164e-4	REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT	NA	NA	NA	NA	NA	NA	NA	NA	NA
path251	64	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	4.24459325681979e-7	3.62390065281164e-4	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1493	22	REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	4.276644784890925e-7	3.62390065281164e-4	REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1119	83	REACTOME_DNA_REPLICATION	5.205819110079514e-7	4.108032568325395e-4	REACTOME_DNA_REPLICATION	M1017	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_383	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in DNA Replication	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_383
path1122	89	REACTOME_G2_M_CHECKPOINTS	5.494376761857819e-7	4.108032568325395e-4	REACTOME_G2_M_CHECKPOINTS	M19381	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_828	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in G2/M Checkpoints	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_828
path1118	286	REACTOME_CELL_CYCLE_MITOTIC	6.417717980691504e-7	4.5318182729669375e-4	REACTOME_CELL_CYCLE_MITOTIC	M5336	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_152	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Cell Cycle, Mitotic	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_152
path665	44	REACTOME_PROTEIN_FOLDING	6.979836060050476e-7	4.6097828112671535e-4	REACTOME_PROTEIN_FOLDING	M776	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_16952	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Protein folding	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_16952
path1109	60	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	7.827948193659682e-7	4.6097828112671535e-4	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path505	136	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	8.343100583127529e-7	4.6097828112671535e-4	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path438	13	REACTOME_XENOBIOTICS	8.650811772110078e-7	4.6097828112671535e-4	REACTOME_XENOBIOTICS	M5372	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_13543	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Xenobiotics	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_13543
path497	112	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	8.759009240764822e-7	4.6097828112671535e-4	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path192	360	REACTOME_CELL_CYCLE	9.025512475882194e-7	4.6097828112671535e-4	REACTOME_CELL_CYCLE	M543	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_115566	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Cell Cycle	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_115566
path1103	197	REACTOME_M_PHASE	9.144011227220291e-7	4.6097828112671535e-4	REACTOME_M_PHASE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1116	99	REACTOME_S_PHASE	9.429517035347659e-7	4.6097828112671535e-4	REACTOME_S_PHASE	M3158	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_899	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in S Phase	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_899
path1075	60	REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION	1.1030346097108152e-6	5.033807809590182e-4	REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path197	6	REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION	1.1088946771744157e-6	5.033807809590182e-4	REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION	M17019	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_11103	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Nef mediated downregulation of MHC class I complex cell surface expression	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_11103
path1420	25	REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	1.271889815869795e-6	5.238155107172687e-4	REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1101	105	REACTOME_MITOTIC_PROMETAPHASE	1.3369013684829836e-6	5.238155107172687e-4	REACTOME_MITOTIC_PROMETAPHASE	M4217	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_682	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Mitotic Prometaphase	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_682
path252	54	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	1.3703289407801133e-6	5.238155107172687e-4	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	M1030	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_6761	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_6761
path227	4	REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	1.3753924531766786e-6	5.238155107172687e-4	REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	M593	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_118632	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Trafficking and processing of endosomal TLR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_118632
path1105	48	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	1.5662665477325876e-6	5.238155107172687e-4	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	M4138	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_1156	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Orc1 removal from chromatin	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_1156
path37	19	REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	1.6093760121163116e-6	5.238155107172687e-4	REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1194	4	REACTOME_FASL_CD95L_SIGNALING	1.6304084726049087e-6	5.238155107172687e-4	REACTOME_FASL_CD95L_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path676	18	REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	1.6814071060977854e-6	5.238155107172687e-4	REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path173	9	REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION	1.695004694764617e-6	5.238155107172687e-4	REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path177	90	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	1.7005167486047494e-6	5.238155107172687e-4	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	M5283	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_6288	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Host Interactions of HIV factors	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_6288
path176	157	REACTOME_HIV_INFECTION	1.7010076021774756e-6	5.238155107172687e-4	REACTOME_HIV_INFECTION	M12469	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_6185	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in HIV Infection	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_6185
path1281	91	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2	1.724745772537585e-6	5.238155107172687e-4	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
path7	18	REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	1.8320420522067155e-6	5.238155107172687e-4	REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path208	16	REACTOME_GLYCOSPHINGOLIPID_METABOLISM	1.8366129586759148e-6	5.238155107172687e-4	REACTOME_GLYCOSPHINGOLIPID_METABOLISM	M576	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_116105	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Glycosphingolipid metabolism	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_116105
path1319	119	REACTOME_NEDDYLATION	1.8627025324232514e-6	5.238155107172687e-4	REACTOME_NEDDYLATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path38	8	REACTOME_MAPK1_ERK2_ACTIVATION	1.963075814419831e-6	5.238155107172687e-4	REACTOME_MAPK1_ERK2_ACTIVATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path982	77	REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	1.9845750247489877e-6	5.238155107172687e-4	REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path265	11	REACTOME_PHOSPHORYLATION_OF_THE_APC_C	2.0287849889316512e-6	5.238155107172687e-4	REACTOME_PHOSPHORYLATION_OF_THE_APC_C	M1050	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_6904	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Phosphorylation of the APC/C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_6904
path910	123	REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS	2.0685654549544806e-6	5.238155107172687e-4	REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path501	66	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	2.1417327344779368e-6	5.238155107172687e-4	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1108	56	REACTOME_DNA_REPLICATION_PRE_INITIATION	2.1480609155054458e-6	5.238155107172687e-4	REACTOME_DNA_REPLICATION_PRE_INITIATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path42	1	REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	2.232393061832692e-6	5.238155107172687e-4	REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	M5756	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_1321	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in E2F-enabled inhibition of pre-replication complex formation	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_1321
path1004	62	REACTOME_MAPK6_MAPK4_SIGNALING	2.25480214730783e-6	5.238155107172687e-4	REACTOME_MAPK6_MAPK4_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path636	73	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	2.2963419131805843e-6	5.238155107172687e-4	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	M758	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_15480	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in ABC-family proteins mediated transport	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_15480
path1024	20	REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER	2.3908465750715295e-6	5.238155107172687e-4	REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER	NA	NA	NA	NA	NA	NA	NA	NA	NA
path50	58	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	2.3947658267565095e-6	5.238155107172687e-4	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	M550	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_115676	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Antiviral mechanism by IFN-stimulated genes	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_115676
path1117	17	REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	2.4445194563629e-6	5.238155107172687e-4	REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path821	99	REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	2.461694036081015e-6	5.238155107172687e-4	REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path908	55	REACTOME_ABC_TRANSPORTER_DISORDERS	2.5226364826265183e-6	5.238155107172687e-4	REACTOME_ABC_TRANSPORTER_DISORDERS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path820	119	REACTOME_MITOTIC_G2_G2_M_PHASES	2.5352873787544754e-6	5.238155107172687e-4	REACTOME_MITOTIC_G2_G2_M_PHASES	M864	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_21391	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Mitotic G2-G2/M phases	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_21391
path828	42	REACTOME_DEGRADATION_OF_DVL	2.5822120761276493e-6	5.238155107172687e-4	REACTOME_DEGRADATION_OF_DVL	NA	NA	NA	NA	NA	NA	NA	NA	NA
path48	63	REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	2.623623628779034e-6	5.238155107172687e-4	REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	M595	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_118638	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Downstream Signaling Events Of B Cell Receptor (BCR)	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_118638
path445	5	REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA	2.7257095002951018e-6	5.238155107172687e-4	REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA	NA	NA	NA	NA	NA	NA	NA	NA	NA
path156	47	REACTOME_METABOLISM_OF_NUCLEOTIDES	2.7531670949684628e-6	5.238155107172687e-4	REACTOME_METABOLISM_OF_NUCLEOTIDES	M777	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_1698	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Metabolism of nucleotides	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_1698
path60	53	REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	2.83174095726572e-6	5.238155107172687e-4	REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1028	52	REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER	2.8400970910255883e-6	5.238155107172687e-4	REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER	NA	NA	NA	NA	NA	NA	NA	NA	NA
path997	215	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	2.903175235284396e-6	5.238155107172687e-4	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	NA	NA	NA	NA	NA	NA	NA	NA	NA
path346	162	REACTOME_SIGNALING_BY_WNT	2.9195237387388445e-6	5.238155107172687e-4	REACTOME_SIGNALING_BY_WNT	M7847	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_11045	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Signaling by Wnt	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_11045
path1299	55	REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	2.920274336347658e-6	5.238155107172687e-4	REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1008	56	REACTOME_UCH_PROTEINASES	3.0066396179934237e-6	5.238155107172687e-4	REACTOME_UCH_PROTEINASES	NA	NA	NA	NA	NA	NA	NA	NA	NA
path381	111	REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	3.032418663792138e-6	5.238155107172687e-4	REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1292	54	REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS	3.1321709520358544e-6	5.238155107172687e-4	REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path653	11	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	3.1768987882609597e-6	5.238155107172687e-4	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	M9648	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_16956	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Formation of tubulin folding intermediates by CCT/TriC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_16956
path301	47	REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	3.233849967518783e-6	5.238155107172687e-4	REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1029	26	REACTOME_DUAL_INCISION_IN_GG_NER	3.2563837021036724e-6	5.238155107172687e-4	REACTOME_DUAL_INCISION_IN_GG_NER	NA	NA	NA	NA	NA	NA	NA	NA	NA
path495	97	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	3.2879163845377008e-6	5.238155107172687e-4	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path918	91	REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS	3.28953392308315e-6	5.238155107172687e-4	REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1263	10	REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS	3.2954101206741875e-6	5.238155107172687e-4	REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path656	9	REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC	3.370785887797581e-6	5.238155107172687e-4	REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1164	21	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	3.3978784683522775e-6	5.238155107172687e-4	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path123	10	REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	3.456607673584969e-6	5.238155107172687e-4	REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	M702	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_121369	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Acyl chain remodelling of PE	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_121369
path344	62	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	3.481719002920384e-6	5.238155107172687e-4	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path78	470	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	3.517319014803765e-6	5.238155107172687e-4	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	M1060	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_75790	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Cytokine Signaling in Immune system	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_75790
path1089	45	REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	3.5371905192555907e-6	5.238155107172687e-4	REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	NA	NA	NA	NA	NA	NA	NA	NA	NA
