# GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_bonferroni,p_sidak,p_holm,p_fdr_bh,study_items
GO:0006469,BP,e,negative regulation of protein kinase activity,24/500,101/4382,0.0003604574809273789,10,24,1.0,1.0,1.0,0.05754481483188595,"634, 868, 1028, 1031, 1845, 1846, 1847, 1848, 2810, 2873, 4763, 5580, 5611, 5728, 5997, 9052, 10252, 10519, 11142, 11221, 23636, 29108, 51347, 79706"
GO:0043407,BP,e,negative regulation of MAP kinase activity,11/500,31/4382,0.00038184923926723067,12,11,1.0,1.0,1.0,0.06013609505973385,"1845, 1846, 1847, 1848, 2873, 4763, 5580, 5997, 10252, 11221, 23636"
GO:0007093,BP,e,mitotic cell cycle checkpoint,12/500,36/4382,0.00040512487996999686,7,12,1.0,1.0,1.0,0.06212270198908348,"3550, 5546, 5884, 7465, 7756, 9319, 9656, 11073, 11130, 51347, 55159, 65123"
GO:0006487,BP,e,protein N-linked glycosylation,10/500,27/4382,0.00047465610795688606,8,10,1.0,1.0,1.0,0.07091849079653269,"3703, 4247, 6184, 6185, 7991, 11282, 29880, 29929, 79053, 79796"
GO:0000188,BP,e,inactivation of MAPK activity,6/500,11/4382,0.0005981612675868362,13,6,1.0,1.0,1.0,0.08428165976808169,"1845, 1846, 1847, 1848, 2873, 11221"
GO:0034453,BP,e,microtubule anchoring,6/500,11/4382,0.0005981612675868362,7,6,1.0,1.0,1.0,0.08428165976808169,"1605, 1639, 5195, 9857, 23122, 56647"
GO:0007416,BP,e,synapse assembly,8/500,19/4382,0.0006534900825640949,6,8,1.0,1.0,1.0,0.0867214205391099,"999, 2258, 4204, 5364, 5728, 10160, 23129, 23654"
GO:0018196,BP,e,peptidyl-asparagine modification,7/500,15/4382,0.0006837061973904745,8,7,1.0,1.0,1.0,0.087559472795479,"3703, 4247, 6184, 6185, 7991, 29880, 79053"
GO:0018279,BP,e,protein N-linked glycosylation via asparagine,7/500,15/4382,0.0006837061973904745,9,7,1.0,1.0,1.0,0.087559472795479,"3703, 4247, 6184, 6185, 7991, 29880, 79053"
GO:0071526,BP,e,semaphorin-plexin signaling pathway,7/500,15/4382,0.0006837061973904745,6,7,1.0,1.0,1.0,0.087559472795479,"5361, 5364, 6405, 10154, 23129, 23654, 64218"
GO:0045936,BP,e,negative regulation of phosphate metabolic process,36/500,182/4382,0.0007505537461672808,7,36,1.0,1.0,1.0,0.09405326191218803,"341, 634, 868, 1028, 1031, 1845, 1846, 1847, 1848, 2029, 2192, 2280, 2810, 2873, 4763, 5580, 5611, 5728, 5997, 6992, 7531, 8655, 9052, 10160, 10252, 10519, 11142, 11221, 23636, 29103, 29108, 51347, 56288, 63898, 64062, 79706"
GO:0010563,BP,e,negative regulation of phosphorus metabolic process,36/500,183/4382,0.0007955618531289286,6,36,1.0,1.0,1.0,0.09863274294004824,"341, 634, 868, 1028, 1031, 1845, 1846, 1847, 1848, 2029, 2192, 2280, 2810, 2873, 4763, 5580, 5611, 5728, 5997, 6992, 7531, 8655, 9052, 10160, 10252, 10519, 11142, 11221, 23636, 29103, 29108, 51347, 56288, 63898, 64062, 79706"
GO:0070373,BP,e,negative regulation of ERK1 and ERK2 cascade,9/500,24/4382,0.0008231852654403273,9,9,1.0,1.0,1.0,0.100983169299385,"1845, 1846, 1848, 2192, 5728, 10048, 10252, 11221, 57447"
GO:0033673,BP,e,negative regulation of kinase activity,24/500,106/4382,0.0008952900983534123,9,24,1.0,1.0,1.0,0.10632290369817717,"634, 868, 1028, 1031, 1845, 1846, 1847, 1848, 2810, 2873, 4763, 5580, 5611, 5728, 5997, 9052, 10252, 10519, 11142, 11221, 23636, 29108, 51347, 79706"
GO:0031400,BP,e,negative regulation of protein modification process,39/500,204/4382,0.0009571363355392547,8,39,1.0,1.0,1.0,0.1104402658848958,"493, 634, 819, 868, 1028, 1031, 1487, 1845, 1846, 1847, 1848, 2029, 2192, 2280, 2810, 2873, 3303, 4763, 5580, 5611, 5728, 5997, 6992, 7531, 9052, 9425, 9636, 10252, 10519, 11142, 11146, 11221, 23560, 23636, 29108, 51347, 51547, 56288, 79706"
GO:0070085,BP,e,glycosylation,17/500,65/4382,0.0010675136073980457,2,17,1.0,1.0,1.0,0.11962311135208485,"3703, 4247, 6184, 6185, 7991, 10195, 10610, 11226, 11282, 26229, 29880, 29929, 55568, 55624, 56913, 79053, 79796"
GO:0000226,BP,e,microtubule cytoskeleton organization,26/500,123/4382,0.0013989390617646152,6,26,1.0,1.0,1.0,0.15380411156419646,"546, 1605, 1639, 2258, 4204, 5116, 5195, 5901, 7465, 7756, 9857, 10048, 10252, 10519, 10579, 10634, 10735, 22919, 22974, 23122, 29901, 51203, 55201, 56288, 56647, 80254"
GO:0043087,BP,e,regulation of GTPase activity,31/500,158/4382,0.0020194808780104254,5,31,1.0,1.0,1.0,0.2018450386824374,"216, 868, 1123, 2873, 3265, 3383, 4763, 5361, 5364, 5905, 5997, 6251, 6281, 6352, 6363, 8490, 9693, 10154, 10252, 10395, 23129, 23348, 23654, 26130, 29108, 30851, 51735, 55188, 57326, 60682, 90627"
GO:0021762,BP,e,substantia nigra development,8/500,22/4382,0.002026417498356373,4,8,1.0,1.0,1.0,0.2018450386824374,"1152, 1340, 5810, 6271, 7531, 8655, 10971, 57447"
GO:0031110,BP,e,regulation of microtubule polymerization or depolymerization,10/500,34/4382,0.0035277316058508704,8,10,1.0,1.0,1.0,0.3000889352889492,"1639, 2258, 3303, 4204, 10519, 10634, 22919, 22974, 23122, 55201"
GO:0006306,BP,e,DNA methylation,5/500,11/4382,0.004868806074392627,9,5,1.0,1.0,1.0,0.3808125234293401,"546, 2778, 4552, 10919, 55729"
GO:0000070,BP,e,mitotic sister chromatid segregation,5/500,11/4382,0.004868806074392627,7,5,1.0,1.0,1.0,0.3808125234293401,"5901, 7756, 11130, 51203, 79003"
GO:0006305,BP,e,DNA alkylation,5/500,11/4382,0.004868806074392627,8,5,1.0,1.0,1.0,0.3808125234293401,"546, 2778, 4552, 10919, 55729"
GO:0051348,BP,e,negative regulation of transferase activity,24/500,120/4382,0.005166556210035328,5,24,1.0,1.0,1.0,0.3935362488349785,"634, 868, 1028, 1031, 1845, 1846, 1847, 1848, 2810, 2873, 4763, 5580, 5611, 5728, 5997, 9052, 10252, 10519, 11142, 11221, 23636, 29108, 51347, 79706"
GO:0097250,BP,e,mitochondrial respirasome assembly,3/500,4/4382,0.005407583681612102,7,3,1.0,1.0,1.0,0.3993146768287634,"1346, 1347, 9167"
GO:0090063,BP,e,positive regulation of microtubule nucleation,3/500,4/4382,0.005407583681612102,11,3,1.0,1.0,1.0,0.3993146768287634,"1639, 3303, 4204"
GO:0055083,BP,e,monovalent inorganic anion homeostasis,3/500,4/4382,0.005407583681612102,7,3,1.0,1.0,1.0,0.3993146768287634,"1152, 6558, 10723"
GO:0055064,BP,e,chloride ion homeostasis,3/500,4/4382,0.005407583681612102,8,3,1.0,1.0,1.0,0.3993146768287634,"1152, 6558, 10723"
GO:0035335,BP,e,peptidyl-tyrosine dephosphorylation,9/500,31/4382,0.00611755893078846,8,9,1.0,1.0,1.0,0.4419513140728119,"1845, 1846, 1847, 1848, 5728, 5796, 8446, 8898, 11221"
GO:1902532,BP,e,negative regulation of intracellular signal transduction,34/500,188/4382,0.006525513115703841,7,34,1.0,1.0,1.0,0.4637093283561742,"493, 1605, 1845, 1846, 1847, 1848, 2192, 2873, 3303, 3430, 4609, 4763, 5580, 5728, 5997, 6772, 7114, 7126, 7417, 10010, 10048, 10252, 10395, 10488, 10519, 10525, 11133, 11221, 23286, 23636, 29108, 51347, 57447, 90993"
GO:0010212,BP,e,response to ionizing radiation,14/500,60/4382,0.007008725785860824,4,14,1.0,1.0,1.0,0.4861886327882264,"301, 1958, 2547, 3265, 3383, 4609, 5810, 7520, 9025, 10010, 11073, 25896, 55159, 65123"
GO:0000819,BP,e,sister chromatid segregation,5/500,12/4382,0.007573812982075937,6,5,1.0,1.0,1.0,0.5072713591558217,"5901, 7756, 11130, 51203, 79003"
GO:0099587,BP,e,inorganic ion import across plasma membrane,5/500,12/4382,0.007573812982075937,7,5,1.0,1.0,1.0,0.5072713591558217,"476, 493, 1317, 6558, 10723"
GO:2000272,BP,e,negative regulation of signaling receptor activity,5/500,12/4382,0.007573812982075937,7,5,1.0,1.0,1.0,0.5072713591558217,"868, 4043, 4061, 5728, 9052"
GO:0098659,BP,e,inorganic cation import across plasma membrane,5/500,12/4382,0.007573812982075937,8,5,1.0,1.0,1.0,0.5072713591558217,"476, 493, 1317, 6558, 10723"
GO:2000108,BP,e,positive regulation of leukocyte apoptotic process,5/500,12/4382,0.007573812982075937,8,5,1.0,1.0,1.0,0.5072713591558217,"101, 301, 5293, 6352, 9693"
GO:0022904,BP,e,respiratory electron transport chain,14/500,61/4382,0.007987686591725218,5,14,1.0,1.0,1.0,0.5200474834634955,"1337, 1340, 1345, 1349, 1350, 1355, 2108, 4697, 6391, 6392, 7386, 9167, 9377, 374291"
GO:0008360,BP,e,regulation of cell shape,14/500,61/4382,0.007987686591725218,6,14,1.0,1.0,1.0,0.5200474834634955,"301, 1605, 3055, 3383, 4478, 5361, 5364, 10154, 10395, 23129, 23136, 23654, 25805, 64218"
GO:0044818,BP,e,mitotic G2/M transition checkpoint,4/500,8/4382,0.008047443961965144,10,4,1.0,1.0,1.0,0.5210272885152322,"5884, 11073, 51347, 65123"
GO:0048857,BP,e,neural nucleus development,8/500,27/4382,0.00841204278969151,3,8,1.0,1.0,1.0,0.5327931884297002,"1152, 1340, 5810, 6271, 7531, 8655, 10971, 57447"
GO:0032984,BP,e,protein-containing complex disassembly,22/500,109/4382,0.008503393319636622,5,22,1.0,1.0,1.0,0.534711368321404,"740, 4609, 5195, 6150, 8867, 10573, 10884, 26284, 26589, 29088, 29093, 51069, 51073, 51642, 54148, 54948, 55052, 55168, 63875, 64976, 65005, 79590"
GO:0042326,BP,e,negative regulation of phosphorylation,28/500,151/4382,0.008578765275488577,8,28,1.0,1.0,1.0,0.534711368321404,"634, 868, 1028, 1031, 1845, 1846, 1847, 1848, 2192, 2810, 2873, 4763, 5580, 5611, 5728, 5997, 8655, 9052, 10252, 10519, 11142, 11221, 23636, 29103, 29108, 51347, 56288, 79706"
GO:0007051,BP,e,spindle organization,13/500,55/4382,0.008725025345522209,7,13,1.0,1.0,1.0,0.5394597086289281,"546, 4204, 5116, 5901, 7756, 10579, 10735, 22919, 22974, 23122, 29901, 56647, 80254"
GO:0001933,BP,e,negative regulation of protein phosphorylation,26/500,138/4382,0.009063058616099252,9,26,1.0,1.0,1.0,0.5529889272880664,"634, 868, 1028, 1031, 1845, 1846, 1847, 1848, 2192, 2810, 2873, 4763, 5580, 5611, 5728, 5997, 9052, 10252, 10519, 11142, 11221, 23636, 29108, 51347, 56288, 79706"
GO:0016525,BP,e,negative regulation of angiogenesis,9/500,33/4382,0.009513720816533443,8,9,1.0,1.0,1.0,0.5715098061643338,"240, 493, 1284, 1944, 4204, 6558, 6772, 64218, 90993"
GO:1901343,BP,e,negative regulation of vasculature development,9/500,33/4382,0.009513720816533443,6,9,1.0,1.0,1.0,0.5715098061643338,"240, 493, 1284, 1944, 4204, 6558, 6772, 64218, 90993"
GO:2000181,BP,e,negative regulation of blood vessel morphogenesis,9/500,33/4382,0.009513720816533443,7,9,1.0,1.0,1.0,0.5715098061643338,"240, 493, 1284, 1944, 4204, 6558, 6772, 64218, 90993"
GO:0071621,BP,e,granulocyte chemotaxis,8/500,28/4382,0.010631663812574726,8,8,1.0,1.0,1.0,0.6257646973320498,"301, 1525, 5293, 6279, 6280, 6352, 6363, 23396"
GO:0000077,BP,e,DNA damage checkpoint,8/500,28/4382,0.010631663812574726,8,8,1.0,1.0,1.0,0.6257646973320498,"5810, 5884, 9656, 11073, 25896, 51347, 55159, 80254"
GO:0098813,BP,e,nuclear chromosome segregation,5/500,13/4382,0.011171719767204751,3,5,1.0,1.0,1.0,0.6477374237164387,"5901, 7756, 11130, 51203, 79003"
GO:0031114,BP,e,regulation of microtubule depolymerization,5/500,13/4382,0.011171719767204751,9,5,1.0,1.0,1.0,0.6477374237164387,"2258, 10519, 22974, 23122, 55201"
GO:0046785,BP,e,microtubule polymerization,3/500,5/4382,0.012375130210193376,8,3,1.0,1.0,1.0,0.6515405074061161,"2258, 7756, 22919"
GO:0060192,BP,e,negative regulation of lipase activity,3/500,5/4382,0.012375130210193376,6,3,1.0,1.0,1.0,0.6515405074061161,"301, 341, 5997"
GO:0010968,BP,e,regulation of microtubule nucleation,3/500,5/4382,0.012375130210193376,10,3,1.0,1.0,1.0,0.6515405074061161,"1639, 3303, 4204"
GO:0032292,BP,e,peripheral nervous system axon ensheathment,3/500,5/4382,0.012375130210193376,4,3,1.0,1.0,1.0,0.6515405074061161,"1605, 4763, 56288"
GO:0022011,BP,e,myelination in peripheral nervous system,3/500,5/4382,0.012375130210193376,5,3,1.0,1.0,1.0,0.6515405074061161,"1605, 4763, 56288"
GO:0072111,BP,e,cell proliferation involved in kidney development,2/500,2/4382,0.01299645548363982,3,2,1.0,1.0,1.0,0.6515405074061161,"1958, 6772"
GO:0070084,BP,e,protein initiator methionine removal,2/500,2/4382,0.01299645548363982,7,2,1.0,1.0,1.0,0.6515405074061161,"10988, 23173"
GO:0018206,BP,e,peptidyl-methionine modification,2/500,2/4382,0.01299645548363982,8,2,1.0,1.0,1.0,0.6515405074061161,"10988, 23173"
GO:0030320,BP,e,cellular monovalent inorganic anion homeostasis,2/500,2/4382,0.01299645548363982,8,2,1.0,1.0,1.0,0.6515405074061161,"1152, 6558"
GO:0032119,BP,e,sequestering of zinc ion,2/500,2/4382,0.01299645548363982,5,2,1.0,1.0,1.0,0.6515405074061161,"6279, 6280"
GO:0015789,BP,e,UDP-N-acetylgalactosamine transmembrane transport,2/500,2/4382,0.01299645548363982,10,2,1.0,1.0,1.0,0.6515405074061161,"11046, 23169"
GO:0090394,BP,e,negative regulation of excitatory postsynaptic potential,2/500,2/4382,0.01299645548363982,8,2,1.0,1.0,1.0,0.6515405074061161,"5728, 8898"
GO:0010916,BP,e,negative regulation of very-low-density lipoprotein particle clearance,2/500,2/4382,0.01299645548363982,6,2,1.0,1.0,1.0,0.6515405074061161,"341, 4043"
GO:0010457,BP,e,centriole-centriole cohesion,2/500,2/4382,0.01299645548363982,3,2,1.0,1.0,1.0,0.6515405074061161,"1639, 23177"
GO:0048853,BP,e,forebrain morphogenesis,2/500,2/4382,0.01299645548363982,3,2,1.0,1.0,1.0,0.6515405074061161,"4763, 5728"
GO:1905643,BP,e,positive regulation of DNA methylation,2/500,2/4382,0.01299645548363982,8,2,1.0,1.0,1.0,0.6515405074061161,"4204, 4609"
GO:0070488,BP,e,neutrophil aggregation,2/500,2/4382,0.01299645548363982,6,2,1.0,1.0,1.0,0.6515405074061161,"6279, 6280"
GO:0061044,BP,e,negative regulation of vascular wound healing,2/500,2/4382,0.01299645548363982,9,2,1.0,1.0,1.0,0.6515405074061161,"240, 6558"
GO:0051598,BP,e,meiotic recombination checkpoint,2/500,2/4382,0.01299645548363982,9,2,1.0,1.0,1.0,0.6515405074061161,"5810, 9319"
GO:0030644,BP,e,cellular chloride ion homeostasis,2/500,2/4382,0.01299645548363982,9,2,1.0,1.0,1.0,0.6515405074061161,"1152, 6558"
GO:0010915,BP,e,regulation of very-low-density lipoprotein particle clearance,2/500,2/4382,0.01299645548363982,5,2,1.0,1.0,1.0,0.6515405074061161,"341, 4043"
GO:0015787,BP,e,UDP-glucuronic acid transmembrane transport,2/500,2/4382,0.01299645548363982,10,2,1.0,1.0,1.0,0.6515405074061161,"11046, 23169"
GO:0032602,BP,e,chemokine production,2/500,2/4382,0.01299645548363982,6,2,1.0,1.0,1.0,0.6515405074061161,"6279, 6280"
GO:0033314,BP,e,mitotic DNA replication checkpoint,2/500,2/4382,0.01299645548363982,11,2,1.0,1.0,1.0,0.6515405074061161,"5884, 11073"
GO:0055085,BP,e,transmembrane transport,47/500,293/4382,0.013112435932350305,4,47,1.0,1.0,1.0,0.6515405074061161,"360, 476, 493, 523, 537, 1317, 1337, 1340, 1345, 1346, 1347, 1349, 1350, 1355, 1968, 2030, 2280, 3775, 3927, 4697, 5195, 5205, 5250, 5825, 6363, 6558, 6834, 7417, 7531, 7991, 9016, 9167, 9197, 9296, 9377, 10312, 10723, 10730, 11046, 11230, 23169, 27032, 29103, 57130, 79714, 81539, 374291"
GO:0002082,BP,e,regulation of oxidative phosphorylation,4/500,9/4382,0.013194058670657578,8,4,1.0,1.0,1.0,0.6515405074061161,"1346, 1347, 9167, 29103"
GO:0035136,BP,e,forelimb morphogenesis,4/500,9/4382,0.013194058670657578,5,4,1.0,1.0,1.0,0.6515405074061161,"546, 7020, 8434, 140467"
GO:0070507,BP,e,regulation of microtubule cytoskeleton organization,12/500,52/4382,0.01394433990483935,7,12,1.0,1.0,1.0,0.6828039380294024,"1639, 2258, 3303, 4204, 10519, 10634, 22919, 22974, 23122, 23636, 55201, 85458"
GO:0072676,BP,e,lymphocyte migration,7/500,24/4382,0.014748035802547159,7,7,1.0,1.0,1.0,0.7072988034686608,"101, 3383, 4478, 5293, 6352, 6363, 6558"
GO:0048247,BP,e,lymphocyte chemotaxis,5/500,14/4382,0.015779887960282048,8,5,1.0,1.0,1.0,0.7343862435572625,"101, 5293, 6352, 6363, 6558"
GO:0016266,BP,e,O-glycan processing,5/500,14/4382,0.015779887960282048,9,5,1.0,1.0,1.0,0.7343862435572625,"10610, 11226, 55568, 55624, 56913"
GO:0031570,BP,e,DNA integrity checkpoint,8/500,30/4382,0.01632595585804446,7,8,1.0,1.0,1.0,0.7490657069671267,"5810, 5884, 9656, 11073, 25896, 51347, 55159, 80254"
GO:0097530,BP,e,granulocyte migration,8/500,30/4382,0.01632595585804446,7,8,1.0,1.0,1.0,0.7490657069671267,"301, 1525, 5293, 6279, 6280, 6352, 6363, 23396"
GO:0070372,BP,e,regulation of ERK1 and ERK2 cascade,18/500,92/4382,0.019198635320751656,8,18,1.0,1.0,1.0,0.8539728856032053,"537, 634, 1845, 1846, 1848, 2192, 3265, 3383, 5728, 6352, 6363, 9693, 10048, 10252, 10519, 11221, 29108, 57447"
GO:0071453,BP,e,cellular response to oxygen levels,11/500,48/4382,0.019795890745342687,4,11,1.0,1.0,1.0,0.8738686013114533,"101, 360, 468, 523, 537, 2030, 3383, 4609, 5728, 10525, 28996"
GO:0030595,BP,e,leukocyte chemotaxis,11/500,48/4382,0.019795890745342687,6,11,1.0,1.0,1.0,0.8738686013114533,"101, 240, 301, 1525, 5293, 6279, 6280, 6352, 6363, 6558, 23396"
GO:0002523,BP,e,leukocyte migration involved in inflammatory response,4/500,10/4382,0.020038361858097414,6,4,1.0,1.0,1.0,0.8779213123844634,"101, 240, 6279, 6280"
GO:0035970,BP,e,peptidyl-threonine dephosphorylation,4/500,10/4382,0.020038361858097414,8,4,1.0,1.0,1.0,0.8779213123844634,"1846, 1847, 1848, 11221"
GO:1903573,BP,e,negative regulation of response to endoplasmic reticulum stress,6/500,20/4382,0.02047545896621944,7,6,1.0,1.0,1.0,0.8870669100086294,"240, 3303, 5611, 10488, 29761, 90993"
GO:0044728,BP,e,DNA methylation or demethylation,5/500,15/4382,0.021500219822718675,8,5,1.0,1.0,1.0,0.91446555406556,"546, 2778, 4552, 10919, 55729"
GO:0050434,BP,e,positive regulation of viral transcription,5/500,15/4382,0.021500219822718675,6,5,1.0,1.0,1.0,0.91446555406556,"5431, 5432, 5438, 5439, 6827"
GO:0051784,BP,e,negative regulation of nuclear division,5/500,15/4382,0.021500219822718675,7,5,1.0,1.0,1.0,0.91446555406556,"3550, 5810, 7756, 9319, 11130"
