-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($GABRQ $RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($GZMM $RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($EIF1AY $ICT1 $CREB3) and($RHOBTB1 !$FOS !$RBM23) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($POU3F2 $ICT1 $CREB3) and($RHOBTB1 !$FOS !$RBM23) !$IFIT1) $postmenopausal_only) 
-212 and(or(and(!$CLINT1 $CREB3) and($RHOBTB1 !$CREB3 !$FOS !$RBM23) !$IFIT1) $postmenopausal_only) 
-212 and(or(and(!$SAG $RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and(!$SAG $ICT1 $CREB3) and($RHOBTB1 !$FOS !$RBM23) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($KIF17 $RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and(!$PPEF1 $ICT1 $CREB3) and($RHOBTB1 !$FOS !$RBM23) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($CCR4 $RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($CCR4 $ICT1 $CREB3) and($RHOBTB1 !$FOS !$RBM23) !$IFIT1) $postmenopausal_only) 
-212 and(or(and(!$MAP1S $RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($DLX6 $RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($TNNI1 $RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$SERPINB2 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 $NAB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 $KLRF1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 $GP1BB !$OSBP2 !$FOS) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 $GP1BB !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$OSBP2 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 $CBX8 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 $ZNF613 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 $CBX4 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($CRMP1 $ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $GP1BB $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $KEL $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) $SAG !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$KIF17 !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$TDP1 !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$ARHGAP15 !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $C9 $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $OR12D3 $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $GABRQ $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $EIF1AY $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $KIF17 $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $CARD9 $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $KLRF1 $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $IRS4 $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $ZNF613 $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $SLCO4A1 $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $CWF19L1 $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) !$intarvenous $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only $anti_estrogen) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only $aromatase_inhibitor) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only !$anti_HER2) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only !$doxorubicin) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only !$docetaxel) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only !$capecitabine) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only !$fluorouracil) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only !$paclitaxel) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only $letrozole) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1 !$MYO1A) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1 !$CWF19L1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1 !$anti_estrogen) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1 !$aromatase_inhibitor) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1 $epirubicin) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1 $docetaxel) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1 $anastrozole) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1 $trastuzumab) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1 $taxaneGeneral) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 !$OSBP2) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 $IRS4) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 $FBXO7) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 $CBX4) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 !$FOS) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 $GALNT8) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 $LY6H) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 $C9orf38) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 !$taxane) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 $estrogen_receptor_blocker_and_stops_production) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 !$anti_HER2) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 !$docetaxel) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 !$capecitabine) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 !$paclitaxel) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 !$cyclophosphamide) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 !$trastuzumab) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 $letrozole) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 !$other) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3 !$taxaneGeneral) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23 $GALNT8) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23 $NRGN) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23 $F2RL3) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23 $LY6H) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($RHOBTB1 !$FOS !$RBM23 $CWF19L1) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
