-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($RHOBTB1 !$postmenopausal_only) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-203 and(or(and(!$IGFBP4 $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-202 and(or(and($IGFBP4 $GP1BB !$capecitabine) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or(and($PSMD5 $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $oral $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$KIF17 !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 $PPEF1 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2) $oral) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7 $capecitabine) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB !$epirubicin) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB !$capecitabine) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass $letrozole) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC !$hormone_therapyClass) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(and(!$IGFBP4 !$ST6GALNAC4) !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(and(!$IGFBP4 $trastuzumab) !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) and(!$chemotherapyClass !$epirubicin)) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) and(!$chemotherapyClass !$capecitabine)) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($PHF15 $GP1BB) $IGFBP4) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($RHOBTB1 !$ARHGAP15) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($GP1BB $GLI3) $IGFBP4) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($GP1BB !$PTGES) $IGFBP4) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($OTOR !$oral) $RHOBTB1) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(!$COL11A1 !$PFN2) $KIF17) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($DUOX2 !$MAP3K7) and($RHOBTB1 $OTOR) !$MGAT4A) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) and(!$MAP3K7 $oral) !$MGAT4A) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) and(!$MAP3K7 !$anthracycline) !$MGAT4A) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or(and($CES2 !$PFN2) $KIF17)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or(not(0<($age)) $KIF17 !$PFN2)) 
-201 and(or(and(or(and(not(0<($preTrt_lymph_node_status)) !$ITPKC) !$IGFBP4) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($RHOBTB1 !$estrogen_receptor_blocker_and_stops_production) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7 $capecitabine) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($RHOBTB1 $taxaneGeneral) $OTOR) and($IGFBP4 $GP1BB !$capecitabine) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC $KLRF1) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC $F2RL3) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC !$intarvenous) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC $anastrozole) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$C9 !$ITPKC) !$IGFBP4) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$OR12D3 !$ITPKC) !$IGFBP4) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$DDN !$CCR4) $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$IGFBP4 $RHOBTB1) !$CCR4) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$KCNH4 !$TNNI1) $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$KCNH4 $GPI) $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$ITPKC !$CCR4) !$IGFBP4) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$ITPKC $ICT1) !$IGFBP4) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$ITPKC $IFIT1) !$IGFBP4) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$ITPKC $hormone_therapyClass) !$IGFBP4) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$CCR4 !$NHLH2) $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$CCR4 !$GPM6B) $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$CCR4 !$PEBP1) $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-200 and(or(and(or(and(!$CCR4 !$GLI3) $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$C9 $IGFBP4) $GP1BB) and(or(!$CCR4 $RHOBTB1) $OTOR) !$MGAT4A !$MAP3K7) or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) or($anti_HER2 $letrozole)) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 $DAO)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) or($anti_HER2 $letrozole)) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) and($DUOX2 !$chemotherapyClass)) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) and($DUOX2 !$chemotherapyClass)) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($IGFBP4 !$NRGN) $GP1BB) and(or(!$CCR4 $RHOBTB1) $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($IGFBP4 !$LY6H) $GP1BB) and(or(!$CCR4 $RHOBTB1) $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and(or($GPI $GP1BB) $IGFBP4) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) and($EIF1AY !$MAP3K7) !$MGAT4A) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or(and(!$DDN !$PFN2) $KIF17)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or(and(!$PFN2 $anti_HER2) $KIF17)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) or($OTOR !$ARID4B)) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) or($OTOR !$oral)) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and(or(!$DLX6 $GP1BB) $IGFBP4) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and(or($RHOBTB1 $GP1BB) $IGFBP4) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and(or($GPI $GP1BB) $IGFBP4) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and(or($GP1BB !$MGAT4A) $IGFBP4) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and(or($GP1BB !$ARID4B) $IGFBP4) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and(or($GP1BB !$PTGES) $IGFBP4) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) and($KCNH4 !$MAP3K7) !$MGAT4A) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) and(!$MGAT4A !$IFIT1) !$MAP3K7) or($KIF17 !$PFN2)) 
